ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
374,Albert Stewart,1913-1914,3,3,0,3,1,0,0,0,0,2,1,0
375,Andrew Todd,1913-1914,3,3,0,0,0,0,0,0,0,2,1,0
376,George Wood,1913-1914,2,2,0,0,0,0,0,0,0,1,1,0
377,William Collopy,1914-1924,19,19,0,0,0,0,0,0,0,7,12,0
378,John Dowse,1914-1914,3,3,0,0,0,0,0,0,0,2,1,0
379,Jack Parr,1914-1914,4,4,0,0,0,0,0,0,0,2,2,0
380,Vincent McNamara,1914-1914,3,3,0,3,1,0,0,0,0,1,2,0
381,Frank Montgomery,1914-1914,3,3,0,0,0,0,0,0,0,1,2,0
382,James Taylor,1914-1914,3,3,0,0,0,0,0,0,0,1,2,0
383,Henry Jack,1914-1921,3,3,0,0,0,0,0,0,0,1,2,0
384,Jasper Brett,1914-1914,1,1,0,0,0,0,0,0,0,0,1,0
385,Charles Bryant,1920-1920,2,2,0,0,0,0,0,0,0,0,2,0
386,Nick Butler,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
387,Henry Coulter,1920-1920,3,3,0,0,0,0,0,0,0,0,3,0
388,William Crawford,1920-1927,30,30,0,18,0,6,2,0,0,12,17,1
389,Robert Crichton,1920-1925,15,15,0,0,0,0,0,0,0,3,11,1
390,William Cullen,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
391,James Dickson,1920-1920,3,3,0,3,1,0,0,0,0,0,3,0
392,George Doherty,1920-1921,7,7,0,0,0,0,0,0,0,1,6,0
393,Arthur Horan,1920-1920,2,2,0,0,0,0,0,0,0,0,2,0
394,William Roche,1920-1920,3,3,0,0,0,0,0,0,0,0,3,0
395,Thomas Wallace,1920-1920,3,3,0,0,0,0,0,0,0,0,3,0
396,Andy Courtney,1920-1921,7,7,0,0,0,0,0,0,0,1,6,0
397,William Duggan,1920-1920,2,2,0,0,0,0,0,0,0,0,2,0
398,Basil McFarland,1920-1922,4,4,0,4,0,0,0,1,0,0,4,0
399,James O'Neill,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
400,Alfred Price,1920-1920,2,2,0,3,1,0,0,0,0,0,2,0
401,Patrick Roddy,1920-1920,2,2,0,0,0,0,0,0,0,0,2,0
402,Michael Bradley,1920-1927,19,19,0,0,0,0,0,0,0,9,10,0
403,Bill Cunningham,1920-1924,9,9,0,6,2,0,0,0,0,2,6,1
404,Norman Potterton,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
405,Decco Browne,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
406,John Smyth,1920-1920,1,1,0,0,0,0,0,0,0,0,1,0
407,George Stephenson,1920-1930,42,42,0,89,14,13,7,0,0,20,20,2
408,John Bermingham,1921-1921,4,4,0,0,0,0,0,0,0,1,3,0
409,Henry Cormack,1921-1921,3,3,0,0,0,0,0,0,0,1,2,0
410,Denis Cussen,1921-1927,15,15,0,15,5,0,0,0,0,6,9,0
411,Charles Hallaran,1921-1926,15,15,0,0,0,0,0,0,0,6,9,0
412,Thomas McClelland,1921-1924,16,16,0,6,2,0,0,0,0,5,11,0
413,Thomas Mayne,1921-1921,3,3,0,0,0,0,0,0,0,1,2,0
414,Noel Purcell,1921-1921,4,4,0,0,0,0,0,0,0,1,3,0
415,John Thompson,1921-1923,8,8,0,0,0,0,0,0,0,2,6,0
416,Cecil Davidson,1921-1921,1,1,0,0,0,0,0,0,0,0,1,0
417,Thomas Wallis,1921-1922,5,5,0,14,1,4,1,0,0,1,4,0
418,Samuel McVicker,1922-1922,4,4,0,0,0,0,0,0,0,1,3,0
419,Reuben Owens,1922-1922,2,2,0,0,0,0,0,0,0,0,2,0
420,Donal Sullivan,1922-1922,4,4,0,0,0,0,0,0,0,1,3,0
421,Jim Wheeler,1922-1924,5,5,0,0,0,0,0,0,0,1,4,0
422,Joseph Clarke,1922-1924,7,7,0,3,1,0,0,0,0,2,5,0
423,John Egan,1922-1922,1,1,0,0,0,0,0,0,0,0,1,0
424,Ivan Popham,1922-1923,4,4,0,0,0,0,0,0,0,1,3,0
425,Henry Stephenson,1922-1928,14,14,0,12,4,0,0,0,0,5,8,1
426,Joseph Gillespie,1922-1922,2,2,0,0,0,0,0,0,0,1,1,0
427,Joe Stewart,1922-1929,10,10,0,0,0,0,0,0,0,6,3,1
428,Dick Collopy,1923-1925,13,13,0,0,0,0,0,0,0,5,7,1
429,Dunlop Cunningham,1923-1925,6,6,0,0,0,0,0,0,0,3,2,1
430,James Gardiner,1923-1925,13,13,0,3,1,0,0,0,0,5,7,1
431,Robert Gray,1923-1926,4,4,0,0,0,0,0,0,0,2,2,0
432,William Hall,1923-1924,6,6,0,0,0,0,0,0,0,2,4,0
433,Finlay Jackson,1923-1923,1,1,0,0,0,0,0,0,0,0,1,0
434,Robert McClenahan,1923-1923,3,3,0,0,0,0,0,0,0,1,2,0
435,Jack Mahony,1923-1923,1,1,0,0,0,0,0,0,0,0,1,0
436,Peter Dunn,1923-1923,1,1,0,0,0,0,0,0,0,0,1,0
437,Jamie Clinch,1923-1931,30,30,0,0,0,0,0,0,0,16,12,2
438,Arthur Douglas,1923-1928,5,5,0,6,2,0,0,0,0,1,4,0
439,Alfred Atkins,1924-1924,1,1,0,3,1,0,0,0,0,1,0,0
440,William Collis,1924-1926,7,7,0,0,0,0,0,0,0,4,2,1
441,John McDowell,1924-1924,2,2,0,0,0,0,0,0,0,1,1,0
442,Jim McVicker,1924-1930,23,23,0,0,0,0,0,0,0,11,10,2
443,Ian Stuart,1924-1924,2,2,0,0,0,0,0,0,0,0,2,0
444,Frank Hewitt,1924-1927,9,9,0,6,2,0,0,0,0,5,3,1
445,Tom Hewitt,1924-1926,9,9,0,8,2,1,0,0,0,5,3,1
446,Norman Brand,1924-1924,3,3,0,0,0,0,0,0,0,0,3,0
447,Alex Spain,1924-1924,1,1,0,0,0,0,0,0,0,0,1,0
448,Mark Sugden,1925-1931,28,28,0,9,3,0,0,0,0,16,10,2
449,George Beamish,1925-1933,30,30,0,0,0,0,0,0,0,13,15,2
450,William Browne,1925-1928,12,12,0,3,1,0,0,0,0,6,5,1
451,Standish Cagney,1925-1929,13,13,0,0,0,0,0,0,0,9,3,1
452,Eugene Davy,1925-1934,34,34,0,36,8,0,0,3,0,19,14,1
453,Robert Flood,1925-1925,1,1,0,0,0,0,0,0,0,1,0,0
454,Terence Millin,1925-1925,1,1,0,3,1,0,0,0,0,1,0,0
455,Jimmy Farrell,1926-1932,34,34,0,0,0,0,0,0,0,18,15,1
