ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
623,Robin Godfrey,1954-1954,2,2,0,0,0,0,0,0,0,1,1,0
624,Seamus Kelly,1954-1960,5,5,0,12,0,0,4,0,0,1,4,0
625,Patrick Berkery,1954-1958,11,11,0,5,0,1,1,0,0,6,5,0
626,Herbert McCracken,1954-1954,1,1,0,0,0,0,0,0,0,0,1,0
627,Marney Cunningham,1955-1956,7,7,0,3,1,0,0,0,0,2,4,1
628,William O'Connell,1955-1955,1,1,0,0,0,0,0,0,0,0,1,0
629,Patrick O'Donoghue,1955-1958,11,11,0,0,0,0,0,0,0,4,6,1
630,Tony O'Reilly,1955-1970,39,39,0,30,10,0,0,0,0,15,23,1
631,William Tector,1955-1955,3,3,0,0,0,0,0,0,0,0,2,1
632,Mick Madden,1955-1955,3,3,0,0,0,0,0,0,0,0,2,1
633,Dick Roche,1955-1957,4,4,0,0,0,0,0,0,0,1,2,1
634,Sean McDermott,1955-1955,2,2,0,0,0,0,0,0,0,0,2,0
635,David MacSweeney,1955-1955,1,1,0,0,0,0,0,0,0,0,1,0
636,George Ross,1955-1955,1,1,0,0,0,0,0,0,0,0,1,0
637,Cecil Fagan,1956-1956,3,3,0,0,0,0,0,0,0,1,2,0
638,Adrian Kennedy,1956-1956,1,1,0,0,0,0,0,0,0,0,1,0
639,Jimmy McKelvey,1956-1956,2,2,0,0,0,0,0,0,0,0,2,0
640,Andy Mulligan,1956-1961,23,23,0,0,0,0,0,0,0,7,16,0
641,Sean Quinlan,1956-1958,4,4,0,0,0,0,0,0,0,1,3,0
642,James Ritchie,1956-1956,2,2,0,0,0,0,0,0,0,0,2,0
643,Noel Feddis,1956-1956,1,1,0,0,0,0,0,0,0,0,1,0
644,Brendan Guerin,1956-1956,1,1,0,0,0,0,0,0,0,1,0,0
645,Charlie Lydon,1956-1956,1,1,0,0,0,0,0,0,0,1,0,0
646,Leo Lynch,1956-1956,1,1,0,0,0,0,0,0,0,1,0,0
647,Timothy McGrath,1956-1961,7,7,0,0,0,0,0,0,0,1,6,0
648,Niall Brophy,1957-1967,22,22,0,12,4,0,0,0,0,7,12,3
649,Hubert O'Connor,1957-1957,4,4,0,0,0,0,0,0,0,2,2,0
650,Tony O'Sullivan,1957-1963,15,15,0,3,1,0,0,0,0,5,9,1
651,James Brennan,1957-1957,2,2,0,0,0,0,0,0,0,1,1,0
652,Ronnie Dawson,1958-1964,33,33,0,6,2,0,0,0,0,10,21,2
653,James Donaldson,1958-1958,4,4,0,0,0,0,0,0,0,2,2,0
654,Dave Hewitt,1958-1965,24,24,0,32,2,4,6,0,0,8,16,0
655,Bill Mulcahy,1958-1965,41,41,0,0,0,0,0,0,0,12,25,4
656,Noel Murphy,1958-1969,49,49,0,18,6,0,0,0,0,20,27,2
657,James Stevenson,1958-1958,5,5,0,0,0,0,0,0,0,2,3,0
658,Michael English,1958-1963,16,16,0,9,0,0,0,3,0,3,11,2
659,Eric Brown,1958-1958,1,1,0,0,0,0,0,0,0,0,1,0
660,Dion Glass,1958-1961,4,4,0,0,0,0,0,0,0,0,4,0
661,Syd Millar,1958-1970,46,46,0,0,0,0,0,0,0,14,27,5
662,Gerry Culliton,1959-1964,19,19,0,3,1,0,0,0,0,4,15,0
663,John Dooley,1959-1959,3,3,0,3,1,0,0,0,0,1,2,0
664,Kevin Flynn,1959-1973,22,22,0,17,5,0,0,0,0,8,10,4
665,Walter Bornemann,1960-1960,4,4,0,0,0,0,0,0,0,0,4,0
666,Tom Kiernan,1960-1973,59,59,0,193,2,27,42,2,0,23,28,8
667,Barton McCallan,1960-1960,2,2,0,0,0,0,0,0,0,0,2,0
668,Jerry Walsh,1960-1967,26,26,0,3,1,0,0,0,0,9,15,2
669,Locky Butler,1960-1960,1,1,0,0,0,0,0,0,0,0,1,0
670,Paddy Costello,1960-1960,1,1,0,0,0,0,0,0,0,0,1,0
671,William Armstrong,1960-1961,2,2,0,0,0,0,0,0,0,1,1,0
672,Ronald McCarten,1961-1961,3,3,0,0,0,0,0,0,0,1,2,0
673,Jonathan Moffett,1961-1961,2,2,0,10,0,2,2,0,0,1,1,0
674,Ian Dick,1961-1963,8,8,0,0,0,0,0,0,0,1,5,2
675,Tom Nesdale,1961-1961,1,1,0,0,0,0,0,0,0,0,1,0
676,Dennis Scott,1961-1962,3,3,0,0,0,0,0,0,0,0,3,0
677,Kenneth Houston,1961-1965,6,6,0,0,0,0,0,0,0,2,3,1
678,Jimmy Dick,1962-1962,1,1,0,0,0,0,0,0,0,0,1,0
679,Francis Gilpin,1962-1962,3,3,0,0,0,0,0,0,0,0,3,0
680,Michael Hipwell,1962-1972,12,10,2,0,0,0,0,0,0,5,6,1
681,Ray Hunter,1962-1966,10,10,0,6,1,0,1,0,0,0,7,3
682,Laurence l'Estrange,1962-1962,1,1,0,0,0,0,0,0,0,0,1,0
683,Willie-John McBride,1962-1975,80,80,0,7,2,0,0,0,0,33,34,13
684,Ray McLoughlin,1962-1975,43,43,0,7,2,0,0,0,0,18,18,7
685,John Quirke,1962-1968,3,3,0,0,0,0,0,0,0,1,2,0
686,Noel Turley,1962-1962,1,1,0,0,0,0,0,0,0,0,1,0
687,Gerald Hardy,1962-1962,1,1,0,0,0,0,0,0,0,0,1,0
688,Noel Byrne,1962-1962,1,1,0,0,0,0,0,0,0,0,1,0
689,James Kelly,1962-1964,11,11,0,0,0,0,0,0,0,2,7,2
690,Patrick Dwyer,1962-1964,5,5,0,0,0,0,0,0,0,0,4,1
691,Matthew Kiely,1962-1963,5,5,0,0,0,0,0,0,0,1,2,2
692,Mick O'Callaghan,1962-1964,3,3,0,0,0,0,0,0,0,1,1,1
693,Patrick Casey,1963-1965,12,12,0,9,3,0,0,0,0,4,6,2
694,John Murray,1963-1963,1,1,0,0,0,0,0,0,0,0,1,0
695,Eamonn McGuire,1963-1964,8,8,0,0,0,0,0,0,0,2,5,1
696,Brian Marshall,1963-1963,1,1,0,0,0,0,0,0,0,0,0,1
697,Alan Duggan,1963-1972,25,25,0,34,11,0,0,0,0,14,8,3
698,John Fortune,1963-1964,2,2,0,3,1,0,0,0,0,1,1,0
699,Mike Gibson,1964-1979,81,80,1,112,9,7,16,6,0,31,39,11
700,Fergus Keogh,1964-1964,2,2,0,6,0,0,2,0,0,0,2,0
701,Paddy Lane,1964-1964,1,1,0,0,0,0,0,0,0,0,1,0
702,Mick Leahy,1964-1964,1,1,0,0,0,0,0,0,0,0,1,0
703,Al Moroney,1964-1967,3,3,0,0,0,0,0,0,0,1,2,0
704,Mick Doyle,1965-1968,21,21,0,6,2,0,0,0,0,11,7,3
705,Ken Kennedy,1965-1975,49,49,0,3,1,0,0,0,0,25,17,7
706,Ronnie Lamont,1965-1970,16,16,0,6,2,0,0,0,0,5,8,3
707,Sean MacHale,1965-1967,12,12,0,0,0,0,0,0,0,6,4,2
708,Roger Young,1965-1971,30,30,0,3,1,0,0,0,0,15,11,4
709,Paddy McGrath,1965-1967,10,10,0,12,4,0,0,0,0,6,3,1
710,Henry Wall,1965-1965,2,2,0,0,0,0,0,0,0,1,1,0
711,Mick Molloy,1966-1976,27,27,0,6,2,0,0,0,0,14,10,3
712,Barry Bresnihan,1966-1971,28,28,0,15,5,0,0,0,0,13,10,5
713,Aidan Brady,1966-1968,4,4,0,0,0,0,0,0,0,2,1,1
714,Oliver Waldron,1966-1968,3,3,0,0,0,0,0,0,0,2,1,0
715,Ken Goodall,1967-1970,19,19,0,9,3,0,0,0,0,12,5,2
716,Philo O'Callaghan,1967-1976,21,21,0,0,0,0,0,0,0,10,9,2
717,Harry Rea,1967-1969,2,2,0,0,0,0,0,0,0,2,0,0
718,Brendan Sherry,1967-1968,6,6,0,0,0,0,0,0,0,3,2,1
719,Robert Scott,1967-1968,5,5,0,0,0,0,0,0,0,1,3,1
720,Sam Hutton,1967-1967,4,4,0,0,0,0,0,0,0,3,1,0
721,Terry Moore,1967-1974,12,12,0,4,1,0,0,0,0,5,4,3
722,Billy McCombe,1968-1975,5,5,0,32,1,5,4,2,0,2,3,0
723,Brian O'Brien,1968-1968,3,3,0,0,0,0,0,0,0,1,1,1
724,Thomas Doyle,1968-1968,3,3,0,0,0,0,0,0,0,2,0,1
725,Laurence Hunter,1968-1968,2,2,0,0,0,0,0,0,0,2,0,0
726,John Moroney,1968-1969,6,6,0,20,1,4,3,0,0,5,1,0
727,Jim Tydings,1968-1968,1,1,0,0,0,0,0,0,0,1,0,0
728,James Davidson,1969-1976,6,6,0,0,0,0,0,0,0,3,2,1
729,Barry McGann,1969-1976,25,25,0,72,1,3,15,6,0,11,11,3
730,Colin Grimshaw,1969-1969,1,0,1,0,0,0,0,0,0,1,0,0
731,William Brown,1970-1970,4,4,0,3,1,0,0,0,0,2,1,1
732,Eric Campbell,1970-1970,1,1,0,0,0,0,0,0,0,0,0,1
733,Fergus Slattery,1970-1984,65,65,0,12,3,0,0,0,0,27,30,8
734,Edwin Grant,1971-1971,4,4,0,9,3,0,0,0,0,1,2,1
735,Denis Hickie,1971-1972,6,6,0,0,0,0,0,0,0,3,2,1
736,Sean Lynch,1971-1974,21,21,0,0,0,0,0,0,0,9,7,5
737,Barry O'Driscoll,1971-1971,4,3,1,6,0,0,2,0,0,1,2,1
738,Con Feighery,1972-1972,3,3,0,0,0,0,0,0,0,3,0,0
739,Tom Grace,1972-1978,25,25,0,24,6,0,0,0,0,9,14,2
740,Stewart McKinney,1972-1978,25,24,1,11,2,0,1,0,0,9,15,1
741,Arthur McMaster,1972-1976,18,18,0,8,2,0,0,0,0,8,8,2
742,John Moloney,1972-1980,27,27,0,16,4,0,0,0,0,14,10,3
743,Kevin Mays,1973-1973,4,4,0,0,0,0,0,0,0,1,2,1
744,James Buckley,1973-1973,2,2,0,0,0,0,0,0,0,1,1,0
745,Dick Milliken,1973-1975,18,18,0,12,3,0,0,0,0,9,6,3
746,Anthony Ensor,1973-1978,22,22,0,31,1,0,9,0,0,7,13,2
747,Roger Clegg,1973-1975,5,5,0,0,0,0,0,0,0,3,2,0
748,Seamus Dennison,1973-1975,3,3,0,4,1,0,0,0,0,2,1,0
749,Michael Quinn,1973-1981,10,10,0,18,0,0,4,2,0,3,5,2
750,Vinny Becker,1974-1974,2,2,0,0,0,0,0,0,0,0,1,1
751,Moss Keane,1974-1984,52,52,0,4,1,0,0,0,0,17,31,4
752,Paddy Agnew,1974-1976,2,1,1,0,0,0,0,0,0,0,2,0
753,Shay Deering,1974-1978,8,8,0,0,0,0,0,0,0,1,6,1
754,Patrick Lavery,1974-1976,2,2,0,0,0,0,0,0,0,0,1,1
755,Alan Doherty,1974-1974,1,0,1,0,0,0,0,0,0,0,0,1
756,James Crowe,1974-1974,1,1,0,0,0,0,0,0,0,0,1,0
757,Pat Parfrey,1974-1974,1,1,0,0,0,0,0,0,0,0,1,0
758,Willie Duggan,1975-1984,45,45,0,8,2,0,0,0,0,13,31,1
759,Pa Whelan,1975-1981,19,19,0,0,0,0,0,0,0,3,14,2
760,Michael Sherry,1975-1975,2,2,0,0,0,0,0,0,0,1,1,0
761,Ollie Campbell,1976-1984,29,28,1,243,1,16,61,8,0,11,18,0
762,John Cantrell,1976-1981,9,9,0,0,0,0,0,0,0,1,8,0
763,Ian McIlrath,1976-1977,5,5,0,0,0,0,0,0,0,0,5,0
764,Phelim McLoughlin,1976-1976,1,1,0,0,0,0,0,0,0,0,1,0
765,John Robbie,1976-1981,10,10,0,9,0,0,3,0,0,1,9,0
766,Brendan Foley,1976-1981,11,10,1,0,0,0,0,0,0,2,9,0
767,Philip Orr,1976-1987,59,59,0,0,0,0,0,0,0,20,36,3
768,Donal Canniffe,1976-1976,2,2,0,0,0,0,0,0,0,1,1,0
769,Ronnie Hakin,1976-1977,6,6,0,0,0,0,0,0,0,0,6,0
770,Lawrence Moloney,1976-1978,4,2,2,0,0,0,0,0,0,1,3,0
771,Stephen Blake-Knox,1976-1977,3,2,1,0,0,0,0,0,0,1,2,0
772,Joseph Brady,1976-1976,2,2,0,0,0,0,0,0,0,1,1,0
773,Harold Steele,1976-1979,10,10,0,0,0,0,0,0,0,4,5,1
774,Christopher McKibbin,1976-1976,1,0,1,0,0,0,0,0,0,0,1,0
775,Jimmy Bowen,1977-1977,3,3,0,0,0,0,0,0,0,0,3,0
776,Thomas Feighery,1977-1977,2,2,0,0,0,0,0,0,0,0,2,0
777,Robbie McGrath,1977-1984,16,15,1,4,1,0,0,0,0,6,10,0
778,Alistair McKibbin,1977-1980,14,14,0,0,0,0,0,0,0,3,9,2
779,Frank Wilson,1977-1977,3,3,0,0,0,0,0,0,0,0,3,0
780,Ned Byrne,1977-1978,6,6,0,0,0,0,0,0,0,0,6,0
781,Charles Murtagh,1977-1977,1,1,0,0,0,0,0,0,0,0,1,0
782,Raymond Finn,1977-1977,1,1,0,0,0,0,0,0,0,0,1,0
783,Freddie McLennan,1977-1981,18,18,0,16,4,0,0,0,0,2,14,2
784,Mick Fitzpatrick,1978-1985,10,9,1,0,0,0,0,0,Null,3,6,1
785,Paul McNaughton,1978-1981,15,15,0,0,0,0,0,0,Null,6,7,2
786,John O'Driscoll,1978-1984,32,32,0,12,3,0,0,0,Null,12,20,0
787,Donal Spring,1978-1981,7,7,0,0,0,0,0,0,Null,3,3,1
788,Tony Ward,1978-1987,20,19,1,131,0,7,34,5,Null,5,13,2
789,Terry Kennedy,1978-1981,13,12,1,4,1,0,0,0,Null,5,7,1
790,Colin Patterson,1978-1980,14,14,0,20,5,0,0,0,Null,5,7,2
791,Michael Gibson,1979-1988,10,9,1,0,0,0,0,0,Null,3,5,2
792,Ginger McLoughlin,1979-1984,18,18,0,4,1,0,0,0,Null,9,7,2
793,Dick Spring,1979-1979,3,3,0,0,0,0,0,0,Null,1,1,1
794,Colm Tucker,1979-1980,5,4,1,0,0,0,0,0,Null,1,3,1
795,Moss Finn,1979-1986,14,14,0,16,4,0,0,0,Null,7,7,0
796,Ron Elliott,1979-1979,1,1,0,0,0,0,0,0,Null,0,0,1
797,Ciaran Fitzgerald,1979-1986,29,29,0,4,1,0,0,0,Null,13,15,1
798,Rodney O'Donnell,1979-1980,6,6,0,0,0,0,0,0,Null,4,2,0
799,Frank Ennis,1979-1979,1,0,1,0,0,0,0,0,Null,1,0,0
800,James Glennon,1980-1987,7,5,2,0,0,0,0,0,Null,3,4,0
801,Kevin O'Brien,1980-1981,3,2,1,4,1,0,0,0,Null,0,3,0
802,Ian Burns,1980-1980,1,0,1,0,0,0,0,0,Null,0,1,0
803,David Irwin,1980-1990,28,27,1,8,2,0,0,0,Null,7,21,0
804,Hugo MacNeill,1981-1988,40,38,2,46,10,0,1,1,Null,15,24,1
805,Francis Quinn,1981-1981,3,3,0,0,0,0,0,0,Null,0,3,0
806,Kenneth Hooks,1981-1991,6,6,0,4,1,0,0,0,Null,2,4,0
807,Paul Dean,1981-1989,32,32,0,19,4,0,0,1,Null,13,18,1
808,Jerry Holland,1981-1986,3,3,0,0,0,0,0,0,Null,0,3,0
809,John Murphy,1981-1984,3,2,1,5,0,1,1,0,Null,1,2,0
810,John Hewitt,1981-1981,2,0,2,0,0,0,0,0,Null,0,2,0
811,Donal Lenihan,1981-1992,53,53,0,4,1,0,0,0,Null,21,31,1
812,Trevor Ringland,1981-1988,36,36,0,36,9,0,0,0,Null,14,21,1
813,Michael Kiernan,1982-1991,46,45,1,308,6,40,62,6,Null,18,27,1
814,Keith Crossan,1982-1992,41,41,0,48,12,0,0,0,Null,17,23,1
815,Ronan Kearney,1982-1986,4,4,0,0,0,0,0,0,Null,0,4,0
816,Rory Moroney,1984-1985,3,3,0,0,0,0,0,0,Null,0,2,1
817,William Duncan,1984-1984,2,2,0,0,0,0,0,0,Null,0,2,0
818,JJ McCoy,1984-1989,16,16,0,0,0,0,0,0,Null,7,8,1
819,Harry Harbison,1984-1987,8,7,1,0,0,0,0,0,Null,3,5,0
820,Tony Doyle,1984-1984,2,2,0,0,0,0,0,0,Null,0,2,0
821,Des Fitzgerald,1984-1992,35,33,2,0,0,0,0,0,Null,8,26,1
822,Derek McGrath,1984-1987,5,5,0,0,0,0,0,0,Null,2,3,0
823,Hugh Condon,1984-1984,1,0,1,0,0,0,0,0,Null,0,1,0
824,Willie Anderson,1984-1990,27,27,0,4,1,0,0,0,Null,10,16,1
825,Michael Bradley,1984-1995,40,40,0,21,5,0,0,0,Null,15,23,2
826,Philip Matthews,1984-1992,38,38,0,16,4,0,0,0,Null,12,24,2
827,Brendan Mullin,1984-1995,57,57,0,72,17,1,0,0,Null,19,37,1
828,William Sexton,1984-1988,3,3,0,0,0,0,0,0,Null,1,2,0
829,Nigel Carr,1985-1987,12,12,0,0,0,0,0,0,Null,6,5,1
830,Brian Spillane,1985-1989,13,11,2,4,1,0,0,0,Null,5,7,1
831,Brian McCall,1985-1986,3,2,1,4,1,0,0,0,Null,0,2,1
832,Robert Morrow,1986-1986,3,3,0,0,0,0,0,0,Null,0,3,0
833,Paul Kennedy,1986-1986,2,2,0,0,0,0,0,0,Null,0,2,0
834,Ralph Keyes,1986-1992,8,8,0,94,1,9,22,2,Null,2,6,0
835,Terry Kingston,1987-1996,30,28,2,8,2,0,0,0,Null,14,15,1
836,Paul Collins,1987-1990,2,1,1,0,0,0,0,0,Null,1,1,0
837,John McDonald,1987-1990,4,3,1,0,0,0,0,0,Null,2,2,0
838,Neil Francis,1987-1996,36,36,0,19,4,0,0,0,Null,13,22,1
839,Job Langbroek,1987-1987,1,1,0,0,0,0,0,0,Null,1,0,0
840,Phil Danaher,1988-1995,28,27,1,6,0,0,2,0,Null,9,18,1
841,John Fitzgerald,1988-1994,12,12,0,4,1,0,0,0,Null,3,8,1
842,Don Whittle,1988-1988,1,1,0,0,0,0,0,0,Null,0,1,0
843,Tom Clancy,1988-1989,9,9,0,0,0,0,0,0,Null,3,6,0
844,Denis McBride,1988-1997,32,29,3,18,4,0,0,0,Null,12,19,1
845,Michael Moylett,1988-1988,1,1,0,0,0,0,0,0,Null,0,1,0
846,Fergus Aherne,1988-1992,16,15,1,4,1,0,0,0,Null,4,12,0
847,Vince Cunningham,1988-1994,16,14,2,14,3,1,0,0,Null,7,9,0
848,John Sexton,1988-1989,4,4,0,7,1,0,0,1,Null,2,2,0
849,Steve Smith,1988-1993,25,25,0,8,2,0,0,0,Null,4,20,1
850,Noel Mannion,1988-1993,16,15,1,12,3,0,0,0,Null,6,10,0
851,Pat O'Hara,1988-1994,15,14,1,4,1,0,0,0,Null,7,8,0
852,Fergus Dunlea,1989-1989,3,3,0,4,1,0,0,0,Null,1,2,0
853,Paul Haycock,1989-1989,1,1,0,0,0,0,0,0,Null,0,1,0
854,Nick Popplewell,1989-1998,51,49,2,13,3,0,0,0,Null,16,34,1
855,Philip Rainey,1989-1989,1,1,0,0,0,0,0,0,Null,0,1,0
856,Brian Smith,1987-1991,15,14,1,52,4,9,4,2,Null,6,7,2
857,Gary Halpin,1990-1995,11,10,1,5,1,0,0,0,Null,3,8,0
858,Kenny Murphy,1990-1992,11,8,3,0,0,0,0,0,Null,2,8,1
859,Peter Russell,1990-1992,4,4,0,23,0,4,5,0,Null,0,4,0
860,Paddy Johns,1990-2000,59,57,2,20,4,0,0,0,Null,22,36,1
861,Philip Lawlor,1990-1993,3,3,0,0,0,0,0,0,Null,1,2,0
862,Alain Rolland,1990-1995,3,1,2,0,0,0,0,0,Null,2,1,0
863,Mick Galwey,1991-2002,41,36,5,15,3,0,0,0,Null,18,20,3
864,Simon Geoghegan,1991-1996,37,37,0,51,11,0,0,0,Null,12,23,2
865,Gordon Hamilton,1991-1992,10,10,0,4,1,0,0,0,Null,2,7,1
866,Brian Rigney,1991-1992,8,7,1,0,0,0,0,0,Null,0,7,1
867,Brian Robinson,1991-1994,25,25,0,25,6,0,0,0,Null,5,18,2
868,Rob Saunders,1991-1994,12,11,1,0,0,0,0,0,Null,2,9,1
869,Jack Clarke,1991-1992,6,5,1,4,1,0,0,0,Null,1,4,1
870,David Curtis,1991-1992,13,12,1,7,1,0,0,1,Null,2,10,1
871,Jim Staples,1991-1997,26,26,0,25,5,2,0,0,Null,6,19,1
872,Richard Wallace,1991-1998,29,28,1,23,5,0,0,0,Null,9,19,1
873,Nicky Barry,1991-1991,1,0,1,0,0,0,0,0,Null,0,1,0
874,Michael Fitzgibbon,1992-1992,6,6,0,0,0,0,0,0,Null,0,6,0
875,Paul Hogan,1992-1992,1,1,0,0,0,0,0,0,Null,0,1,0
876,Derek McAleese,1992-1992,1,1,0,12,0,0,4,0,Null,0,1,0
877,Ronald Carey,1992-1992,2,2,0,0,0,0,0,0,Null,0,2,0
878,Neville Furlong,1992-1992,2,2,0,4,1,0,0,0,Null,0,2,0
879,Kelvin Leahy,1992-1992,1,1,0,0,0,0,0,0,Null,0,1,0
880,Paul McCarthy,1992-1993,5,4,1,0,0,0,0,0,Null,1,4,0
881,Mark McCall,1992-1998,13,11,2,0,0,0,0,0,Null,1,12,0
882,Paddy Kenny,1992-1992,1,0,1,0,0,0,0,0,Null,0,1,0
883,John Murphy,1992-1992,1,1,0,0,0,0,0,0,Null,0,1,0
884,Richard Costello,1993-1993,1,1,0,0,0,0,0,0,Null,0,1,0
885,Niall Malone,1993-1994,3,2,1,9,0,0,3,0,Null,1,2,0
886,Colin Wilkinson,1993-1993,1,1,0,0,0,0,0,0,Null,0,1,0
887,Ciaran Clarke,1993-1998,5,5,0,3,0,0,0,1,Null,2,3,0
888,Peter Clohessy,1993-2002,54,49,5,20,4,0,0,0,Null,24,29,1
889,Brian Glennon,1993-1993,1,0,1,0,0,0,0,0,Null,0,1,0
890,Eric Elwood,1993-1999,35,31,4,296,0,43,68,2,Null,15,19,1
891,Conor O'Shea,1993-2000,35,34,1,44,6,1,3,1,Null,12,22,1
892,Ken O'Connell,1994-1994,2,1,1,0,0,0,0,0,Null,1,1,0
893,Maurice Field,1994-1997,17,10,7,0,0,0,0,0,Null,6,10,1
894,Jonathan Bell,1994-2003,36,31,5,40,8,0,0,0,Null,16,20,0
895,David Corkery,1994-1999,27,25,2,15,3,0,0,0,Null,7,20,0
896,Keith Wood,1994-2003,63,60,3,75,15,0,0,0,Null,26,36,1
897,Niall Woods,1994-1999,8,8,0,5,1,0,0,0,Null,2,6,0
898,Gabriel Fulcher,1994-1998,20,17,3,5,1,0,0,0,Null,7,13,0
899,Alan McGowan,1994-1994,1,1,0,13,0,2,3,0,Null,1,0,0
900,Paul Burke,1995-2003,13,7,6,108,0,12,27,1,Null,7,6,0
901,Anthony Foley,1995-2005,62,59,3,25,5,0,0,0,Null,37,24,1
902,Niall Hogan,1995-1997,13,13,0,5,1,0,0,0,Null,5,8,0
903,Ben Cronin,1995-1997,2,2,0,0,0,0,0,0,Null,0,2,0
904,Eddie Halvey,1995-1997,8,5,3,10,2,0,0,0,Null,4,4,0
905,Davy Tweed,1995-1995,4,4,0,0,0,0,0,0,Null,2,2,0
906,David O'Mahony,1995-1995,1,1,0,0,0,0,0,0,Null,0,1,0
907,Darragh O'Mahony,1995-1998,4,4,0,5,1,0,0,0,Null,1,3,0
908,Paul Wallace,1995-2002,49,38,11,25,5,0,0,0,Null,22,26,1
909,Jeremy Davidson,1995-2001,35,27,8,0,0,0,0,0,Null,15,19,1
910,Chris Saverimutto,1995-1996,3,3,0,0,0,0,0,0,Null,2,1,0
911,Allen Clarke,1995-1998,8,4,4,0,0,0,0,0,Null,4,4,0
912,Henry Hurley,1995-1996,2,1,1,0,0,0,0,0,Null,1,1,0
913,Sean McCahill,1995-1995,1,0,1,0,0,0,0,0,Null,1,0,0
914,Victor Costello,1996-2004,39,29,10,20,4,0,0,0,Null,20,19,0
915,Kurt McQuilkin,1996-1997,5,4,1,0,0,0,0,0,Null,1,4,0
916,David Humphreys,1996-2005,72,44,28,560,6,88,110,8,Null,37,34,1
917,Simon Mason,1996-1996,3,3,0,42,0,3,12,0,Null,1,2,0
918,Rob Henderson,1996-2003,32,19,13,30,6,0,0,0,Null,16,16,0
919,James Topping,1996-2003,8,8,0,5,1,0,0,0,Null,2,6,0
920,Dominic Crotty,1996-2000,5,5,0,0,0,0,0,0,Null,1,3,1
921,Stephen McIvor,1996-1997,3,2,1,0,0,0,0,0,Null,0,3,0
922,Eric Miller,1997-2005,49,28,21,30,6,0,0,0,Null,29,19,1
923,Paul Flavin,1997-1997,2,1,1,0,0,0,0,0,Null,0,2,0
924,Denis Hickie,1997-2007,63,63,0,145,29,0,0,0,Null,40,22,1
925,Ross Nesdale,1997-1999,13,7,6,0,0,0,0,0,Null,6,7,0
926,Brian O'Meara,1997-2003,9,2,7,0,0,0,0,0,Null,5,4,0
927,Kieron Dawson,1997-2003,21,17,4,10,2,0,0,0,Null,14,7,0
928,Conor McGuinness,1997-1999,14,13,1,5,1,0,0,0,Null,4,10,0
929,John McWeeney,1997-1997,1,1,0,0,0,0,0,0,Null,0,1,0
930,Kevin Nowlan,1997-1997,3,3,0,10,2,0,0,0,Null,1,2,0
931,Malcolm O'Kelly,1997-2009,92,80,12,40,8,0,0,0,Null,51,41,0
932,David Erskine,1997-1997,3,2,1,0,0,0,0,0,Null,1,2,0
933,Kevin Maggs,1997-2005,70,59,11,75,15,0,0,0,Null,39,30,1
934,Reggie Corrigan,1997-2006,47,40,7,0,0,0,0,0,Null,27,20,0
935,Dylan O'Grady,1997-1997,1,1,0,0,0,0,0,0,Null,0,1,0
936,Andy Ward,1998-2001,28,20,8,15,3,0,0,0,Null,12,15,1
937,Killian Keane,1998-1998,1,0,1,0,0,0,0,0,Null,0,1,0
938,Justin Bishop,1998-2003,25,25,0,40,8,0,0,0,Null,9,15,1
939,Justin Fitzpatrick,1998-2003,26,9,17,0,0,0,0,0,Null,15,10,1
940,Dion O'Cuinneagain,1998-2000,19,16,3,5,1,0,0,0,Null,8,11,0
941,Trevor Brennan,1998-2001,13,5,8,0,0,0,0,0,Null,6,7,0
942,Pat Duignan,1998-1998,2,2,0,5,1,0,0,0,Null,2,0,0
943,Girvan Dempsey,1998-2008,82,68,14,95,19,0,0,0,Null,50,32,0
944,Cieran Scally,1998-1999,4,2,2,10,2,0,0,0,Null,3,1,0
945,Matt Mostyn,1999-1999,6,6,0,15,3,0,0,0,Null,3,3,0
946,Brian O'Driscoll,1999-2014,141,140,1,250,47,0,0,5,Null,82,57,2
947,Tom Tierney,1999-2000,8,8,0,5,1,0,0,0,Null,3,5,0
948,Mike Mullins,1999-2003,16,10,6,15,3,0,0,0,Null,12,3,1
949,Bob Casey,1999-2009,7,3,4,5,1,0,0,0,Null,3,3,1
950,Gordon D'Arcy,1999-2015,83,74,9,35,7,0,0,0,Null,53,28,2
951,Angus McKeen,1999-1999,1,0,1,0,0,0,0,0,Null,1,0,0
952,Alan Quinlan,1999-2008,27,11,16,30,6,0,0,0,Null,19,8,0
953,Simon Easterby,2000-2008,67,59,8,45,9,0,0,0,Null,43,23,1
954,John Hayes,2000-2011,107,100,7,10,2,0,0,0,Null,67,37,3
955,Shane Horgan,2000-2009,69,62,7,105,21,0,0,0,Null,40,27,2
956,Ronan O'Gara,2000-2013,130,87,43,1083,16,176,202,15,Null,73,54,3
957,Peter Stringer,2000-2011,98,81,17,30,6,0,0,0,Null,67,30,1
958,Peter McKenna,2000-2000,1,1,0,0,0,0,0,0,Null,0,1,0
959,David Wallace,2000-2011,75,68,7,60,12,0,0,0,Null,45,29,1
960,Guy Easterby,2000-2005,28,7,21,30,6,0,0,0,Null,24,3,1
961,Tyrone Howe,2000-2004,14,13,1,30,6,0,0,0,Null,11,3,0
962,Geordan Murphy,2000-2011,74,57,17,98,18,1,1,1,Null,43,29,2
963,Marcus Horan,2000-2011,67,48,19,30,6,0,0,0,Null,44,23,0
