No.,Player,Position,Debut
634,Sean McDermott,SH,"v Scotland Murrayfield, 26 Feb 1955"
635,David MacSweeney,F,"v Scotland Murrayfield, 26 Feb 1955"
636,George Ross,N8,"v Wales Cardiff, 12 Mar 1955"
637,Cecil Fagan,P,"v France Colombes, 28 Jan 1956"
638,Adrian Kennedy,N8,"v France Colombes, 28 Jan 1956"
639,Jimmy McKelvey,FB,"v France Colombes, 28 Jan 1956"
640,Andy Mulligan,SH,"v France Colombes, 28 Jan 1956"
641,Sean Quinlan,W,"v France Colombes, 28 Jan 1956"
642,James Ritchie,F,"v France Colombes, 28 Jan 1956"
643,Noel Feddis,F,"v England Twickenham, 11 Feb 1956"
644,Brendan Guerin,L,"v Scotland Lansdowne Road, 25 Feb 1956"
645,Charlie Lydon,F,"v Scotland Lansdowne Road, 25 Feb 1956"
646,Leo Lynch,L,"v Scotland Lansdowne Road, 25 Feb 1956"
647,Timothy McGrath,N8,"v Wales Lansdowne Road, 10 Mar 1956"
648,Niall Brophy,W,"v France Lansdowne Road, 26 Jan 1957"
649,Hubert O'Connor,F,"v France Lansdowne Road, 26 Jan 1957"
650,Tony O'Sullivan,N8,"v France Lansdowne Road, 26 Jan 1957"
651,James Brennan,P,"v Scotland Murrayfield, 23 Feb 1957"
652,Ronnie Dawson,H,"v Australia Lansdowne Road, 18 Jan 1958"
653,James Donaldson,F,"v Australia Lansdowne Road, 18 Jan 1958"
654,Dave Hewitt,C,"v Australia Lansdowne Road, 18 Jan 1958"
655,Bill Mulcahy,L,"v Australia Lansdowne Road, 18 Jan 1958"
656,Noel Murphy,F,"v Australia Lansdowne Road, 18 Jan 1958"
657,James Stevenson,L,"v Australia Lansdowne Road, 18 Jan 1958"
658,Michael English,FH,"v Wales Lansdowne Road, 15 Mar 1958"
659,Eric Brown,F,"v France Colombes, 19 Apr 1958"
660,Dion Glass,C,"v France Colombes, 19 Apr 1958"
661,Syd Millar,P,"v France Colombes, 19 Apr 1958"
662,Gerry Culliton,L,"v England Lansdowne Road, 14 Feb 1959"
663,John Dooley,C,"v England Lansdowne Road, 14 Feb 1959"
664,Kevin Flynn,C,"v France Lansdowne Road, 18 Apr 1959"
665,Walter Bornemann,W,"v England Twickenham, 13 Feb 1960"
666,Tom Kiernan,FB,"v England Twickenham, 13 Feb 1960"
667,Barton McCallan,H,"v England Twickenham, 13 Feb 1960"
668,Jerry Walsh,C,"v Scotland Lansdowne Road, 27 Feb 1960"
669,Locky Butler,H,"v Wales Lansdowne Road, 12 Mar 1960"
670,Paddy Costello,L,"v France Colombes, 9 Apr 1960"
671,William Armstrong,FH,"v South Africa Lansdowne Road, 17 Dec 1960"
672,Ronald McCarten,W,"v England Lansdowne Road, 11 Feb 1961"
673,Jonathan Moffett,SH,"v England Lansdowne Road, 11 Feb 1961"
674,Ian Dick,L,"v Wales Cardiff, 11 Mar 1961"
675,Tom Nesdale,F,"v France Lansdowne Road, 15 Apr 1961"
676,Dennis Scott,F,"v France Lansdowne Road, 15 Apr 1961"
677,Kenneth Houston,C,"v South Africa Cape Town, 13 May 1961"
678,Jimmy Dick,H,"v England Twickenham, 10 Feb 1962"
679,Francis Gilpin,FH,"v England Twickenham, 10 Feb 1962"
680,Michael Hipwell,N8,"v England Twickenham, 10 Feb 1962"
681,Ray Hunter,C,"v England Twickenham, 10 Feb 1962"
682,Laurence l'Estrange,W,"v England Twickenham, 10 Feb 1962"
683,Willie-John McBride,L,"v England Twickenham, 10 Feb 1962"
684,Ray McLoughlin,P,"v England Twickenham, 10 Feb 1962"
685,John Quirke,SH,"v England Twickenham, 10 Feb 1962"
686,Noel Turley,F,"v England Twickenham, 10 Feb 1962"
687,Gerald Hardy,FH,"v Scotland Lansdowne Road, 24 Feb 1962"
688,Noel Byrne,W,"v France Colombes, 14 Apr 1962"
689,James Kelly,SH,"v France Colombes, 14 Apr 1962"
690,Patrick Dwyer,P,"v Wales Lansdowne Road, 17 Nov 1962"
691,Matthew Kiely,F,"v Wales Lansdowne Road, 17 Nov 1962"
692,Mick O'Callaghan,P,"v Wales Lansdowne Road, 17 Nov 1962"
693,Patrick Casey,W,"v France Lansdowne Road, 26 Jan 1963"
694,John Murray,FH,"v France Lansdowne Road, 26 Jan 1963"
695,Eamonn McGuire,F,"v England Lansdowne Road, 9 Feb 1963"
696,Brian Marshall,FB,"v England Lansdowne Road, 9 Feb 1963"
697,Alan Duggan,W,"v New Zealand Lansdowne Road, 7 Dec 1963"
698,John Fortune,W,"v New Zealand Lansdowne Road, 7 Dec 1963"
699,Mike Gibson,FH,"v England Twickenham, 8 Feb 1964"
700,Fergus Keogh,FB,"v Wales Lansdowne Road, 7 Mar 1964"
701,Paddy Lane,H,"v Wales Lansdowne Road, 7 Mar 1964"
702,Mick Leahy,L,"v Wales Lansdowne Road, 7 Mar 1964"
703,Al Moroney,P,"v Wales Lansdowne Road, 7 Mar 1964"
704,Mick Doyle,F,"v France Lansdowne Road, 23 Jan 1965"
705,Ken Kennedy,H,"v France Lansdowne Road, 23 Jan 1965"
706,Ronnie Lamont,N8,"v France Lansdowne Road, 23 Jan 1965"
707,Sean MacHale,P,"v France Lansdowne Road, 23 Jan 1965"
708,Roger Young,SH,"v France Lansdowne Road, 23 Jan 1965"
709,Paddy McGrath,W,"v England Lansdowne Road, 13 Feb 1965"
710,Henry Wall,N8,"v Scotland Murrayfield, 27 Feb 1965"
711,Mick Molloy,L,"v France Colombes, 29 Jan 1966"
712,Barry Bresnihan,C,"v England Twickenham, 12 Feb 1966"
713,Aidan Brady,H,"v Scotland Lansdowne Road, 26 Feb 1966"
714,Oliver Waldron,L,"v Scotland Lansdowne Road, 26 Feb 1966"
715,Ken Goodall,N8,"v Australia Lansdowne Road, 21 Jan 1967"
716,Philo O'Callaghan,P,"v Australia Lansdowne Road, 21 Jan 1967"
717,Harry Rea,C,"v Australia Lansdowne Road, 21 Jan 1967"
718,Brendan Sherry,SH,"v Australia Lansdowne Road, 21 Jan 1967"
719,Robert Scott,W,"v England Lansdowne Road, 11 Feb 1967"
720,Sam Hutton,P,"v Scotland Murrayfield, 25 Feb 1967"
721,Terry Moore,N8,"v Australia Sydney, 13 May 1967"
722,Billy McCombe,FH,"v France Colombes, 27 Jan 1968"
723,Brian O'Brien,C,"v France Colombes, 27 Jan 1968"
724,Thomas Doyle,F,"v England Twickenham, 10 Feb 1968"
725,Laurence Hunter,C,"v Wales Lansdowne Road, 9 Mar 1968"
726,John Moroney,W,"v Wales Lansdowne Road, 9 Mar 1968"
727,Jim Tydings,W,"v Australia Lansdowne Road, 26 Oct 1968"
728,James Davidson,F,"v France Lansdowne Road, 25 Jan 1969"
729,Barry McGann,FH,"v France Lansdowne Road, 25 Jan 1969"
730,Colin Grimshaw,(SH),"v England Lansdowne Road, 8 Feb 1969"
731,William Brown,W,"v South Africa Lansdowne Road, 10 Jan 1970"
732,Eric Campbell,L,"v South Africa Lansdowne Road, 10 Jan 1970"
733,Fergus Slattery,F,"v South Africa Lansdowne Road, 10 Jan 1970"
734,Edwin Grant,W,"v France Lansdowne Road, 30 Jan 1971"
735,Denis Hickie,N8,"v France Lansdowne Road, 30 Jan 1971"
736,Sean Lynch,P,"v France Lansdowne Road, 30 Jan 1971"
737,Barry O'Driscoll,(FB),"v France Lansdowne Road, 30 Jan 1971"
738,Con Feighery,L,"v France Colombes, 29 Jan 1972"
739,Tom Grace,W,"v France Colombes, 29 Jan 1972"
740,Stewart McKinney,F,"v France Colombes, 29 Jan 1972"
741,Arthur McMaster,W,"v France Colombes, 29 Jan 1972"
742,John Moloney,SH,"v France Colombes, 29 Jan 1972"
743,Kevin Mays,L,"v New Zealand Lansdowne Road, 20 Jan 1973"
744,James Buckley,F,"v England Lansdowne Road, 10 Feb 1973"
745,Dick Milliken,C,"v England Lansdowne Road, 10 Feb 1973"
746,Anthony Ensor,FB,"v Wales Cardiff, 10 Mar 1973"
747,Roger Clegg,P,"v France Lansdowne Road, 14 Apr 1973"
748,Seamus Dennison,W,"v France Lansdowne Road, 14 Apr 1973"
749,Michael Quinn,FH,"v France Lansdowne Road, 14 Apr 1973"
750,Vinny Becker,W,"v France Parc des Princes, 19 Jan 1974"
751,Moss Keane,L,"v France Parc des Princes, 19 Jan 1974"
752,Paddy Agnew,(P),"v France Parc des Princes, 19 Jan 1974"
753,Shay Deering,F,"v Wales Lansdowne Road, 2 Feb 1974"
754,Patrick Lavery,W,"v Wales Lansdowne Road, 2 Feb 1974"
755,Alan Doherty,(C),"v Pres XV Lansdowne Road, 7 Sep 1974"
756,James Crowe,C,"v New Zealand Lansdowne Road, 23 Nov 1974"
757,Pat Parfrey,W,"v New Zealand Lansdowne Road, 23 Nov 1974"
758,Willie Duggan,N8,"v England Lansdowne Road, 18 Jan 1975"
759,Pa Whelan,H,"v England Lansdowne Road, 18 Jan 1975"
760,Michael Sherry,F,"v France Lansdowne Road, 1 Mar 1975"
761,Ollie Campbell,FH,"v Australia Lansdowne Road, 17 Jan 1976"
762,John Cantrell,H,"v Australia Lansdowne Road, 17 Jan 1976"
763,Ian McIlrath,C,"v Australia Lansdowne Road, 17 Jan 1976"
764,Phelim McLoughlin,P,"v Australia Lansdowne Road, 17 Jan 1976"
765,John Robbie,SH,"v Australia Lansdowne Road, 17 Jan 1976"
766,Brendan Foley,L,"v France Parc des Princes, 7 Feb 1976"
767,Philip Orr,P,"v France Parc des Princes, 7 Feb 1976"
768,Donal Canniffe,SH,"v Wales Lansdowne Road, 21 Feb 1976"
769,Ronnie Hakin,L,"v Wales Lansdowne Road, 21 Feb 1976"
770,Lawrence Moloney,(FB),"v Wales Lansdowne Road, 21 Feb 1976"
771,Stephen Blake-Knox,W,"v England Twickenham, 6 Mar 1976"
772,Joseph Brady,C,"v England Twickenham, 6 Mar 1976"
773,Harold Steele,N8,"v England Twickenham, 6 Mar 1976"
774,Christopher McKibbin,(C),"v Scotland Lansdowne Road, 20 Mar 1976"
775,Jimmy Bowen,W,"v Wales Cardiff, 15 Jan 1977"
776,Thomas Feighery,P,"v Wales Cardiff, 15 Jan 1977"
777,Robbie McGrath,SH,"v Wales Cardiff, 15 Jan 1977"
778,Alistair McKibbin,C,"v Wales Cardiff, 15 Jan 1977"
779,Frank Wilson,FB,"v Wales Cardiff, 15 Jan 1977"
780,Ned Byrne,P,"v Scotland Murrayfield, 19 Feb 1977"
781,Charles Murtagh,L,"v Scotland Murrayfield, 19 Feb 1977"
782,Raymond Finn,C,"v France Lansdowne Road, 19 Mar 1977"
783,Freddie McLennan,W,"v France Lansdowne Road, 19 Mar 1977"
784,Mick Fitzpatrick,P,"v Scotland Lansdowne Road, 21 Jan 1978"
785,Paul McNaughton,C,"v Scotland Lansdowne Road, 21 Jan 1978"
786,John O'Driscoll,F,"v Scotland Lansdowne Road, 21 Jan 1978"
787,Donal Spring,L,"v Scotland Lansdowne Road, 21 Jan 1978"
788,Tony Ward,FH,"v Scotland Lansdowne Road, 21 Jan 1978"
789,Terry Kennedy,W,"v New Zealand Lansdowne Road, 4 Nov 1978"
790,Colin Patterson,SH,"v New Zealand Lansdowne Road, 4 Nov 1978"
791,Michael Gibson,N8,"v France Lansdowne Road, 20 Jan 1979"
792,Ginger McLoughlin,P,"v France Lansdowne Road, 20 Jan 1979"
793,Dick Spring,FB,"v France Lansdowne Road, 20 Jan 1979"
794,Colm Tucker,F,"v France Lansdowne Road, 20 Jan 1979"
795,Moss Finn,W,"v England Lansdowne Road, 17 Feb 1979"
796,Ron Elliott,FB,"v Scotland Murrayfield, 3 Mar 1979"
797,Ciaran Fitzgerald,H,"v Australia Brisbane, 3 Jun 1979"
798,Rodney O'Donnell,FB,"v Australia Brisbane, 3 Jun 1979"
799,Frank Ennis,(FB),"v Australia Brisbane, 3 Jun 1979"
800,James Glennon,L,"v England Twickenham, 19 Jan 1980"
801,Kevin O'Brien,FB,"v England Twickenham, 19 Jan 1980"
802,Ian Burns,(FH),"v England Twickenham, 19 Jan 1980"
803,David Irwin,C,"v France Parc des Princes, 1 Mar 1980"
804,Hugo MacNeill,FB,"v France Lansdowne Road, 7 Feb 1981"
805,Francis Quinn,W,"v France Lansdowne Road, 7 Feb 1981"
806,Kenneth Hooks,W,"v Scotland Murrayfield, 21 Mar 1981"
807,Paul Dean,FH,"v South Africa Cape Town, 30 May 1981"
808,Jerry Holland,L,"v South Africa Cape Town, 30 May 1981"
809,John Murphy,FB,"v South Africa Cape Town, 30 May 1981"
810,John Hewitt,(C),"v South Africa Cape Town, 30 May 1981"
811,Donal Lenihan,L,"v Australia Lansdowne Road, 21 Nov 1981"
812,Trevor Ringland,W,"v Australia Lansdowne Road, 21 Nov 1981"
813,Michael Kiernan,(C),"v Wales Lansdowne Road, 23 Jan 1982"
814,Keith Crossan,W,"v Scotland Lansdowne Road, 20 Feb 1982"
815,Ronan Kearney,F,"v France Parc des Princes, 20 Mar 1982"
816,Rory Moroney,C,"v France Parc des Princes, 21 Jan 1984"
817,William Duncan,F,"v Wales Lansdowne Road, 4 Feb 1984"
818,JJ McCoy,P,"v Wales Lansdowne Road, 4 Feb 1984"
819,Harry Harbison,(H),"v Wales Lansdowne Road, 4 Feb 1984"
820,Tony Doyle,SH,"v England Twickenham, 18 Feb 1984"
821,Des Fitzgerald,P,"v England Twickenham, 18 Feb 1984"
822,Derek McGrath,F,"v Scotland Lansdowne Road, 3 Mar 1984"
823,Hugh Condon,(FH),"v Scotland Lansdowne Road, 3 Mar 1984"
824,Willie Anderson,L,"v Australia Lansdowne Road, 10 Nov 1984"
825,Michael Bradley,SH,"v Australia Lansdowne Road, 10 Nov 1984"
826,Philip Matthews,F,"v Australia Lansdowne Road, 10 Nov 1984"
827,Brendan Mullin,C,"v Australia Lansdowne Road, 10 Nov 1984"
828,William Sexton,F,"v Australia Lansdowne Road, 10 Nov 1984"
829,Nigel Carr,F,"v Scotland Murrayfield, 2 Feb 1985"
830,Brian Spillane,N8,"v Scotland Murrayfield, 2 Feb 1985"
831,Brian McCall,(L),"v France Lansdowne Road, 2 Mar 1985"
832,Robert Morrow,F,"v France Parc des Princes, 1 Feb 1986"
833,Paul Kennedy,P,"v Wales Lansdowne Road, 15 Feb 1986"
834,Ralph Keyes,FH,"v England Twickenham, 1 Mar 1986"
835,Terry Kingston,H,"v Wales Wellington, 25 May 1987"
836,Paul Collins,F,"v Canada Dunedin, 30 May 1987"
837,John McDonald,H,"v Canada Dunedin, 30 May 1987"
838,Neil Francis,N8,"v Tonga Brisbane, 3 Jun 1987"
839,Job Langbroek,P,"v Tonga Brisbane, 3 Jun 1987"
840,Phil Danaher,FB,"v Scotland Lansdowne Road, 16 Jan 1988"
841,John Fitzgerald,P,"v Scotland Lansdowne Road, 16 Jan 1988"
842,Don Whittle,F,"v France Parc des Princes, 20 Feb 1988"
843,Tom Clancy,P,"v Wales Lansdowne Road, 5 Mar 1988"
844,Denis McBride,F,"v Wales Lansdowne Road, 5 Mar 1988"
845,Michael Moylett,L,"v England Twickenham, 19 Mar 1988"
846,Fergus Aherne,SH,"v England Lansdowne Road, 23 Apr 1988"
847,Vince Cunningham,C,"v England Lansdowne Road, 23 Apr 1988"
848,John Sexton,W,"v England Lansdowne Road, 23 Apr 1988"
849,Steve Smith,H,"v England Lansdowne Road, 23 Apr 1988"
850,Noel Mannion,N8,"v Samoa Lansdowne Road, 29 Oct 1988"
851,Pat O'Hara,(F),"v Samoa Lansdowne Road, 29 Oct 1988"
852,Fergus Dunlea,FB,"v Wales Cardiff, 4 Feb 1989"
853,Paul Haycock,W,"v England Lansdowne Road, 18 Feb 1989"
854,Nick Popplewell,P,"v New Zealand Lansdowne Road, 18 Nov 1989"
855,Philip Rainey,FB,"v New Zealand Lansdowne Road, 18 Nov 1989"
856,Brian Smith,FH,"v New Zealand Lansdowne Road, 18 Nov 1989"
857,Gary Halpin,P,"v England Twickenham, 20 Jan 1990"
858,Kenny Murphy,FB,"v England Twickenham, 20 Jan 1990"
859,Peter Russell,FH,"v England Twickenham, 20 Jan 1990"
860,Paddy Johns,L,"v Argentina Lansdowne Road, 27 Oct 1990"
861,Philip Lawlor,N8,"v Argentina Lansdowne Road, 27 Oct 1990"
862,Alain Rolland,SH,"v Argentina Lansdowne Road, 27 Oct 1990"
863,Mick Galwey,L,"v France Lansdowne Road, 2 Feb 1991"
864,Simon Geoghegan,W,"v France Lansdowne Road, 2 Feb 1991"
865,Gordon Hamilton,F,"v France Lansdowne Road, 2 Feb 1991"
866,Brian Rigney,L,"v France Lansdowne Road, 2 Feb 1991"
867,Brian Robinson,N8,"v France Lansdowne Road, 2 Feb 1991"
868,Rob Saunders,SH,"v France Lansdowne Road, 2 Feb 1991"
869,Jack Clarke,W,"v Wales Cardiff, 16 Feb 1991"
870,David Curtis,C,"v Wales Cardiff, 16 Feb 1991"
871,Jim Staples,FB,"v Wales Cardiff, 16 Feb 1991"
872,Richard Wallace,(W),"v Namibia Windhoek, 20 Jul 1991"
873,Nicky Barry,(FH),"v Namibia Windhoek, 27 Jul 1991"
874,Michael Fitzgibbon,F,"v Wales Lansdowne Road, 18 Jan 1992"
875,Paul Hogan,F,"v France Parc des Princes, 21 Mar 1992"
876,Derek McAleese,FH,"v France Parc des Princes, 21 Mar 1992"
877,Ronald Carey,W,"v New Zealand Dunedin, 30 May 1992"
878,Neville Furlong,W,"v New Zealand Dunedin, 30 May 1992"
879,Kelvin Leahy,F,"v New Zealand Dunedin, 30 May 1992"
880,Paul McCarthy,P,"v New Zealand Dunedin, 30 May 1992"
881,Mark McCall,(C),"v New Zealand Dunedin, 30 May 1992"
882,Paddy Kenny,(F),"v New Zealand Wellington, 6 Jun 1992"
883,John Murphy,H,"v Australia Lansdowne Road, 31 Oct 1992"
884,Richard Costello,L,"v Scotland Murrayfield, 16 Jan 1993"
885,Niall Malone,FH,"v Scotland Murrayfield, 16 Jan 1993"
886,Colin Wilkinson,FB,"v Scotland Murrayfield, 16 Jan 1993"
887,Ciaran Clarke,FB,"v France Lansdowne Road, 20 Feb 1993"
888,Peter Clohessy,P,"v France Lansdowne Road, 20 Feb 1993"
889,Brian Glennon,(C),"v France Lansdowne Road, 20 Feb 1993"
890,Eric Elwood,FH,"v Wales Cardiff, 6 Mar 1993"
891,Conor O'Shea,FB,"v Romania Lansdowne Road, 13 Nov 1993"
892,Ken O'Connell,N8,"v France Parc des Princes, 15 Jan 1994"
893,Maurice Field,C,"v England Twickenham, 19 Feb 1994"
894,Jonathan Bell,C,"v Australia Brisbane, 5 Jun 1994"
895,David Corkery,F,"v Australia Brisbane, 5 Jun 1994"
896,Keith Wood,H,"v Australia Brisbane, 5 Jun 1994"
897,Niall Woods,W,"v Australia Brisbane, 5 Jun 1994"
898,Gabriel Fulcher,L,"v Australia Sydney, 11 Jun 1994"
899,Alan McGowan,FH,"v USA Lansdowne Road, 5 Nov 1994"
900,Paul Burke,FH,"v England Lansdowne Road, 21 Jan 1995"
901,Anthony Foley,F,"v England Lansdowne Road, 21 Jan 1995"
902,Niall Hogan,SH,"v England Lansdowne Road, 21 Jan 1995"
903,Ben Cronin,N8,"v Scotland Murrayfield, 4 Feb 1995"
904,Eddie Halvey,F,"v France Lansdowne Road, 4 Mar 1995"
905,Davy Tweed,L,"v France Lansdowne Road, 4 Mar 1995"
906,David O'Mahony,SH,"v Italy Treviso, 6 May 1995"
907,Darragh O'Mahony,W,"v Italy Treviso, 6 May 1995"
908,Paul Wallace,P,"v Japan Bloemfontein, 31 May 1995"
909,Jeremy Davidson,F,"v Fiji Lansdowne Road, 18 Nov 1995"
910,Chris Saverimutto,SH,"v Fiji Lansdowne Road, 18 Nov 1995"
911,Allen Clarke,(H),"v Fiji Lansdowne Road, 18 Nov 1995"
912,Henry Hurley,(P),"v Fiji Lansdowne Road, 18 Nov 1995"
913,Sean McCahill,(C),"v Fiji Lansdowne Road, 18 Nov 1995"
914,Victor Costello,F,"v USA Atlanta, 6 Jan 1996"
915,Kurt McQuilkin,C,"v USA Atlanta, 6 Jan 1996"
916,David Humphreys,FH,"v France Parc des Princes, 17 Feb 1996"
917,Simon Mason,FB,"v Wales Lansdowne Road, 2 Mar 1996"
918,Rob Henderson,C,"v Samoa Lansdowne Road, 12 Nov 1996"
919,James Topping,W,"v Samoa Lansdowne Road, 12 Nov 1996"
920,Dominic Crotty,W,"v Australia Lansdowne Road, 23 Nov 1996"
921,Stephen McIvor,SH,"v Australia Lansdowne Road, 23 Nov 1996"
922,Eric Miller,F,"v Italy Lansdowne Road, 4 Jan 1997"
923,Paul Flavin,(P),"v France Lansdowne Road, 18 Jan 1997"
924,Denis Hickie,W,"v Wales Cardiff, 1 Feb 1997"
925,Ross Nesdale,H,"v Wales Cardiff, 1 Feb 1997"
926,Brian O'Meara,(SH),"v England Lansdowne Road, 15 Feb 1997"
927,Kieron Dawson,F,"v New Zealand Lansdowne Road, 15 Nov 1997"
928,Conor McGuinness,SH,"v New Zealand Lansdowne Road, 15 Nov 1997"
929,John McWeeney,W,"v New Zealand Lansdowne Road, 15 Nov 1997"
930,Kevin Nowlan,FB,"v New Zealand Lansdowne Road, 15 Nov 1997"
931,Malcolm O'Kelly,L,"v New Zealand Lansdowne Road, 15 Nov 1997"
932,David Erskine,(F),"v New Zealand Lansdowne Road, 15 Nov 1997"
933,Kevin Maggs,(C),"v New Zealand Lansdowne Road, 15 Nov 1997"
934,Reggie Corrigan,(P),"v Canada Lansdowne Road, 30 Nov 1997"
935,Dylan O'Grady,F,"v Italy Bologna, 20 Dec 1997"
936,Andy Ward,F,"v France Stade de France, 7 Mar 1998"
937,Killian Keane,(C),"v England Twickenham, 4 Apr 1998"
938,Justin Bishop,W,"v South Africa Bloemfontein, 13 Jun 1998"
939,Justin Fitzpatrick,P,"v South Africa Bloemfontein, 13 Jun 1998"
940,Dion O'Cuinneagain,F,"v South Africa Bloemfontein, 13 Jun 1998"
941,Trevor Brennan,(F),"v South Africa Bloemfontein, 13 Jun 1998"
942,Pat Duignan,C,"v Georgia Lansdowne Road, 14 Nov 1998"
943,Girvan Dempsey,(FB),"v Georgia Lansdowne Road, 14 Nov 1998"
944,Cieran Scally,(SH),"v Georgia Lansdowne Road, 14 Nov 1998"
945,Matt Mostyn,W,"v Australia Brisbane, 12 Jun 1999"
946,Brian O'Driscoll,C,"v Australia Brisbane, 12 Jun 1999"
947,Tom Tierney,SH,"v Australia Brisbane, 12 Jun 1999"
948,Mike Mullins,(C),"v Argentina Lansdowne Road, 28 Aug 1999"
949,Bob Casey,(L),"v Australia Lansdowne Road, 10 Oct 1999"
950,Gordon D'Arcy,(C),"v Romania Lansdowne Road, 15 Oct 1999"
951,Angus McKeen,(P),"v Romania Lansdowne Road, 15 Oct 1999"
952,Alan Quinlan,(BR),"v Romania Lansdowne Road, 15 Oct 1999"
953,Simon Easterby,F,"v Scotland Lansdowne Road, 19 Feb 2000"
954,John Hayes,P,"v Scotland Lansdowne Road, 19 Feb 2000"
955,Shane Horgan,W,"v Scotland Lansdowne Road, 19 Feb 2000"
956,Ronan O'Gara,FH,"v Scotland Lansdowne Road, 19 Feb 2000"
957,Peter Stringer,SH,"v Scotland Lansdowne Road, 19 Feb 2000"
958,Peter McKenna,FB,"v Argentina Buenos Aires, 3 Jun 2000"
959,David Wallace,N8,"v Argentina Buenos Aires, 3 Jun 2000"
960,Guy Easterby,SH,"v USA Manchester, 10 Jun 2000"
961,Tyrone Howe,W,"v USA Manchester, 10 Jun 2000"
962,Geordan Murphy,FB,"v USA Manchester, 10 Jun 2000"
963,Marcus Horan,(P),"v USA Manchester, 10 Jun 2000"
964,Frank Sheahan,(H),"v USA Manchester, 10 Jun 2000"
965,Gary Longwell,(L),"v Japan Lansdowne Road, 11 Nov 2000"
966,Emmet Byrne,(P),"v Italy Rome, 3 Feb 2001"
967,Shane Byrne,(H),"v Romania Bucharest, 2 Jun 2001"
968,Mick O'Driscoll,(L),"v Romania Bucharest, 2 Jun 2001"
969,Jeremy Staunton,FB,"v Samoa Lansdowne Road, 11 Nov 2001"
970,Paul O'Connell,L,"v Wales Lansdowne Road, 3 Feb 2002"
971,Keith Gleeson,(F),"v Wales Lansdowne Road, 3 Feb 2002"
972,John Kelly,W,"v Italy Lansdowne Road, 23 Mar 2002"
973,Leo Cullen,(L),"v New Zealand Auckland, 22 Jun 2002"
974,Donncha O'Callaghan,(L),"v Wales Millennium Stadium, 22 Mar 2003"
975,Mark McHugh,FB,"v Tonga Nuku A'lofa, 14 Jun 2003"
976,Simon Best,(P),"v Tonga Nuku A'lofa, 14 Jun 2003"
977,Anthony Horgan,W,"v Samoa Apia, 20 Jun 2003"
978,Aidan McCullen,F,"v Samoa Apia, 20 Jun 2003"
979,Paul Shields,(H),"v Samoa Apia, 20 Jun 2003"
980,Gavin Duffy,(FB),"v South Africa Cape Town, 19 Jun 2004"
981,Johnny O'Connor,F,"v South Africa Lansdowne Road, 13 Nov 2004"
982,Tommy Bowe,W,"v USA Lansdowne Road, 20 Nov 2004"
983,Denis Leamy,F,"v USA Lansdowne Road, 20 Nov 2004"
984,Matt McCullough,L,"v Japan Osaka, 12 Jun 2005"
985,Roger Wilson,N8,"v Japan Osaka, 12 Jun 2005"
986,Kieran Campbell,(SH),"v Japan Osaka, 12 Jun 2005"
987,Trevor Hogan,(L),"v Japan Osaka, 12 Jun 2005"
988,Bernard Jackman,(H),"v Japan Osaka, 12 Jun 2005"
989,David Quinlan,(C),"v Japan Osaka, 12 Jun 2005"
990,Kieran Lewis,(W),"v Japan Tokyo, 19 Jun 2005"
991,Neil Best,(BR),"v New Zealand Lansdowne Road, 12 Nov 2005"
992,Rory Best,(H),"v New Zealand Lansdowne Road, 12 Nov 2005"
993,Andrew Trimble,C,"v Australia Lansdowne Road, 19 Nov 2005"
994,Jerry Flannery,(H),"v Romania Lansdowne Road, 26 Nov 2005"
995,Eoin Reddan,(C),"v France Stade de France, 11 Feb 2006"
996,Isaac Boss,(SH),"v New Zealand Auckland, 17 Jun 2006"
997,Bryan Young,(P),"v New Zealand Auckland, 17 Jun 2006"
998,Paddy Wallace,(FH),"v South Africa Lansdowne Road, 11 Nov 2006"
999,Stephen Ferris,F,"v Pacific Is Lansdowne Road, 26 Nov 2006"
1000,Luke Fitzgerald,W,"v Pacific Is Lansdowne Road, 26 Nov 2006"
1001,Jamie Heaslip,N8,"v Pacific Is Lansdowne Road, 26 Nov 2006"
1002,Brian Carney,W,"v Argentina Santa Fe, 26 May 2007"
1003,Tony Buckley,(P),"v Argentina Santa Fe, 26 May 2007"
1004,Barry Murphy,(W),"v Argentina Santa Fe, 26 May 2007"
1005,Tomas O'Leary,(SH),"v Argentina Santa Fe, 26 May 2007"
1006,Shane Jennings,F,"v Argentina Buenos Aires, 2 Jun 2007"
1007,Rob Kearney,W,"v Argentina Buenos Aires, 2 Jun 2007"
1008,Keith Earls,FB,"v Canada Limerick, 8 Nov 2008"
1009,Donnacha Ryan,(F),"v Argentina Croke Park, 22 Nov 2008"
1010,Tom Court,(P),"v Italy Rome, 15 Feb 2009"
1011,Darren Cave,C,"v Canada Vancouver, 23 May 2009"
1012,Ian Dowling,W,"v Canada Vancouver, 23 May 2009"
1013,Ian Keatley,FH,"v Canada Vancouver, 23 May 2009"
1014,John Muldoon,F,"v Canada Vancouver, 23 May 2009"
1015,Niall Ronan,F,"v Canada Vancouver, 23 May 2009"
1016,Ian Whitten,C,"v Canada Vancouver, 23 May 2009"
1017,Ryan Caldwell,(L),"v Canada Vancouver, 23 May 2009"
1018,Mike Ross,(P),"v Canada Vancouver, 23 May 2009"
1019,Denis Hurley,(C),"v USA Santa Clara, 31 May 2009"
1020,Cian Healy,P,"v Australia Croke Park, 15 Nov 2009"
1021,Johnny Sexton,FH,"v Fiji Dublin, 21 Nov 2009"
