No.,Player,Position,Debut
344,William Tyrrell,Fwd,"v France Parc des Princes, 28 Mar 1910"
345,Samuel Campbell,Fwd,"v England Lansdowne Road, 11 Feb 1911"
346,Michael Heffernan,Fwd,"v England Lansdowne Road, 11 Feb 1911"
347,Alexander Jackson,C,"v England Lansdowne Road, 11 Feb 1911"
348,James Smyth,Fwd,"v England Lansdowne Road, 11 Feb 1911"
349,Richard Graham,Fwd,"v France Cork, 25 Mar 1911"
350,William Edwards,Fwd,"v France Parc des Princes, 1 Jan 1912"
351,Robert Hemphill,Fwd,"v France Parc des Princes, 1 Jan 1912"
352,George McConnell,Fwd,"v France Parc des Princes, 1 Jan 1912"
353,Charles MacIvor,W,"v France Parc des Princes, 1 Jan 1912"
354,d'Arcy Patterson,Fwd,"v France Parc des Princes, 1 Jan 1912"
355,Myley Abraham,C,"v England Twickenham, 10 Feb 1912"
356,George Killeen,Fwd,"v England Twickenham, 10 Feb 1912"
357,George Brown,P,"v Scotland Lansdowne Road, 24 Feb 1912"
358,Robin Wright,FB,"v Scotland Lansdowne Road, 24 Feb 1912"
359,Robert Burgess,Fwd,"v South Africa Lansdowne Road, 30 Nov 1912"
360,John Clune,H,"v South Africa Lansdowne Road, 30 Nov 1912"
361,George Holmes,C,"v South Africa Lansdowne Road, 30 Nov 1912"
362,John Minch,C,"v South Africa Lansdowne Road, 30 Nov 1912"
363,Geoffrey Schute,Fwd,"v South Africa Lansdowne Road, 30 Nov 1912"
364,Charles Stuart,FB,"v South Africa Lansdowne Road, 30 Nov 1912"
365,Snipe Watson,W,"v South Africa Lansdowne Road, 30 Nov 1912"
366,James Finlay,Fwd,"v England Lansdowne Road, 8 Feb 1913"
367,Ernest Jeffares,Fwd,"v England Lansdowne Road, 8 Feb 1913"
368,Patrick Stokes,F,"v England Lansdowne Road, 8 Feb 1913"
369,Gordon Young,FB,"v England Lansdowne Road, 8 Feb 1913"
370,Frank Bennett,W,"v Scotland Inverleith, 22 Feb 1913"
371,J.W. McConnell,FB,"v Scotland Inverleith, 22 Feb 1913"
372,Patrick O'Connell,Fwd,"v Wales Swansea, 8 Mar 1913"
373,Stanhope Polden,SH,"v Wales Swansea, 8 Mar 1913"
374,Albert Stewart,C,"v Wales Swansea, 8 Mar 1913"
375,Andrew Todd,FB,"v Wales Swansea, 8 Mar 1913"
376,George Wood,W,"v Wales Swansea, 8 Mar 1913"
377,William Collopy,H,"v France Parc des Princes, 1 Jan 1914"
378,John Dowse,Fwd,"v France Parc des Princes, 1 Jan 1914"
379,Jack Parr,F,"v France Parc des Princes, 1 Jan 1914"
380,Vincent McNamara,SH,"v England Twickenham, 14 Feb 1914"
381,Frank Montgomery,FB,"v England Twickenham, 14 Feb 1914"
382,James Taylor,Fwd,"v England Twickenham, 14 Feb 1914"
383,Henry Jack,FH,"v Scotland Lansdowne Road, 28 Feb 1914"
384,Jasper Brett,W,"v Wales Belfast, 14 Mar 1914"
385,Charles Bryant,W,"v England Lansdowne Road, 14 Feb 1920"
386,Nick Butler,P,"v England Lansdowne Road, 14 Feb 1920"
387,Henry Coulter,H,"v England Lansdowne Road, 14 Feb 1920"
388,William Crawford,FB,"v England Lansdowne Road, 14 Feb 1920"
389,Robert Crichton,L,"v England Lansdowne Road, 14 Feb 1920"
390,William Cullen,C,"v England Lansdowne Road, 14 Feb 1920"
391,James Dickson,W,"v England Lansdowne Road, 14 Feb 1920"
392,George Doherty,F,"v England Lansdowne Road, 14 Feb 1920"
393,Arthur Horan,SH,"v England Lansdowne Road, 14 Feb 1920"
394,William Roche,N8,"v England Lansdowne Road, 14 Feb 1920"
395,Thomas Wallace,C,"v England Lansdowne Road, 14 Feb 1920"
396,Andy Courtney,P,"v Scotland Inverleith, 28 Feb 1920"
397,William Duggan,FH,"v Scotland Inverleith, 28 Feb 1920"
398,Basil McFarland,W,"v Scotland Inverleith, 28 Feb 1920"
399,James O'Neill,SH,"v Scotland Inverleith, 28 Feb 1920"
400,Alfred Price,P,"v Scotland Inverleith, 28 Feb 1920"
401,Patrick Roddy,C,"v Scotland Inverleith, 28 Feb 1920"
402,Michael Bradley,P,"v Wales Cardiff, 13 Mar 1920"
403,Bill Cunningham,FH,"v Wales Cardiff, 13 Mar 1920"
404,Norman Potterton,N8,"v Wales Cardiff, 13 Mar 1920"
405,Decco Browne,H,"v France Lansdowne Road, 3 Apr 1920"
406,John Smyth,F,"v France Lansdowne Road, 3 Apr 1920"
407,George Stephenson,C,"v France Lansdowne Road, 3 Apr 1920"
408,John Bermingham,P,"v England Twickenham, 12 Feb 1921"
409,Henry Cormack,W,"v England Twickenham, 12 Feb 1921"
410,Denis Cussen,W,"v England Twickenham, 12 Feb 1921"
411,Charles Hallaran,L,"v England Twickenham, 12 Feb 1921"
412,Thomas McClelland,F,"v England Twickenham, 12 Feb 1921"
413,Thomas Mayne,SH,"v England Twickenham, 12 Feb 1921"
414,Noel Purcell,N8,"v England Twickenham, 12 Feb 1921"
415,John Thompson,F,"v Wales Belfast, 12 Mar 1921"
416,Cecil Davidson,W,"v France Colombes, 9 Apr 1921"
417,Thomas Wallis,C,"v France Colombes, 9 Apr 1921"
418,Samuel McVicker,L,"v England Lansdowne Road, 11 Feb 1922"
419,Reuben Owens,F,"v England Lansdowne Road, 11 Feb 1922"
420,Donal Sullivan,C,"v England Lansdowne Road, 11 Feb 1922"
421,Jim Wheeler,FH,"v England Lansdowne Road, 11 Feb 1922"
422,Joseph Clarke,SH,"v Scotland Inverleith, 25 Feb 1922"
423,John Egan,F,"v Scotland Inverleith, 25 Feb 1922"
424,Ivan Popham,L,"v Scotland Inverleith, 25 Feb 1922"
425,Henry Stephenson,W,"v Scotland Inverleith, 25 Feb 1922"
426,Joseph Gillespie,P,"v Wales Swansea, 11 Mar 1922"
427,Joe Stewart,FB,"v France Lansdowne Road, 8 Apr 1922"
